SeniorCitizen_scaled,tenure_scaled,MonthlyCharges_scaled,TotalCharges_scaled,Partner_indexed,Dependents_indexed,PhoneService_indexed,MultipleLines_indexed,InternetService_indexed,OnlineSecurity_indexed,OnlineBackup_indexed,DeviceProtection_indexed,TechSupport_indexed,StreamingTV_indexed,StreamingMovies_indexed,Contract_indexed,PaperlessBilling_indexed,PaymentMethod_indexed
-0.44137356,-0.147195102,-1.3260908,-0.703402346,0,0,0,1,2,2,2,2,2,2,2,0,1,0
-0.44137356,-0.677838991,1.5969795694208457,-0.182609375,1,1,0,1,0,1,0,1,1,1,1,0,0,0
-0.44137356,1.199824000800674,0.21368146156448034,0.9664613893694519,1,1,0,0,1,1,0,1,1,0,1,2,1,3
-0.44137356,1.6080116076582076,0.7014147294368207,1.7703808087177857,0,0,0,1,1,1,1,0,1,1,1,1,1,3
-0.44137356,1.6080116076582076,-1.494217285,-0.428017981,1,1,0,0,2,2,2,2,2,2,2,1,0,3
2.2653304369166998,1.567192846972454,0.8995043501767817,1.8919381363449888,1,0,0,1,0,1,1,1,1,0,0,2,0,0
-0.44137356,0.8732739153146473,-1.509198853,-0.568103372,0,0,0,0,2,2,2,2,2,2,2,1,1,3
-0.44137356,0.8732739153146473,-1.151305841,-0.297836281,1,0,1,2,1,0,1,0,0,0,0,0,1,0
-0.44137356,1.6080116076582076,1.3689268127706384,2.364933116,1,1,0,1,0,1,1,1,1,1,0,1,1,3
-0.44137356,-1.24930164,-0.492116851,-0.964890664,0,0,0,0,1,0,0,0,1,0,0,0,0,3
-0.44137356,1.1181864794291674,0.5183066766519829,1.125163071873122,0,0,0,1,1,0,0,1,1,1,1,2,1,3
-0.44137356,-1.290120401,-0.49378147,-0.990962295,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-0.44137356,-1.167664119,-1.482564955,-0.976536875,0,0,0,0,2,2,2,2,2,2,2,0,1,3
-0.44137356,-0.841114033,0.5482698125622293,-0.610762031,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.44137356,0.5059050691428671,-1.535832752,-0.630481184,0,0,0,0,2,2,2,2,2,2,2,2,1,2
-0.44137356,-0.963570316,0.16873675769911078,-0.72303327,0,0,0,0,0,0,0,0,0,0,0,0,1,1
-0.44137356,0.4650863084571138,1.367262194108958,0.9768282817637153,0,0,0,0,0,1,1,1,0,1,1,2,0,0
2.2653304369166998,0.5059050691428671,1.0676308350064962,0.9213543788454761,0,0,0,1,0,1,1,0,1,1,0,0,0,0
-0.44137356,0.097717462,1.0576431230364143,0.48830502059744907,0,0,0,1,0,1,1,1,1,0,0,0,0,1
-0.44137356,-0.963570316,-0.685212616,-0.859501277,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.44137356,0.6283613512001271,-0.851674482,-0.140215402,1,1,1,2,1,1,1,0,1,0,0,1,1,1
-0.44137356,-0.677838991,-1.477571099,-0.867397761,0,0,0,0,2,2,2,2,2,2,2,0,0,3
-0.44137356,0.2609925050283471,-0.170845449,0.019853827683905582,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2.2653304369166998,0.17935498365684038,-1.510863472,-0.692020822,1,0,0,0,2,2,2,2,2,2,2,2,1,1
-0.44137356,-0.310470145,-0.362276595,-0.407394482,1,0,0,1,1,0,1,0,0,0,0,0,1,0
-0.44137356,-1.290120401,-1.499211141,-1.004284855,0,0,0,0,2,2,2,2,2,2,2,0,1,1
-0.44137356,-0.718657751,-0.177503924,-0.630569413,1,1,0,1,1,0,0,1,1,0,0,0,0,2
-0.44137356,0.954911437,0.12545667249542194,0.6700564957649601,1,1,0,1,1,1,1,0,0,0,1,2,1,2
-0.44137356,0.8732739153146473,-0.631944819,0.056270294,1,1,1,2,1,0,0,1,1,0,1,1,1,3
2.2653304369166998,1.2406427614864275,1.2823666423632607,1.8452650633529433,1,0,0,1,0,0,1,1,0,1,1,0,0,0
-0.44137356,-1.290120401,-0.65524948,-0.993101845,0,0,0,0,1,0,0,0,0,0,0,0,1,1
-0.44137356,1.6080116076582076,1.5087547803517873,2.5014672946919543,1,1,0,1,0,1,1,1,0,1,1,1,0,2
-0.44137356,-0.555382709,0.012262604,-0.469662008,0,0,0,0,1,0,1,0,1,0,1,2,0,2
-0.44137356,-0.106376341,0.7147316787302637,0.10656075109209566,1,1,0,0,0,0,0,1,0,0,1,2,1,0
-0.44137356,-1.24930164,-0.488787614,-0.972169546,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.44137356,1.2406427614864275,-1.342736987,-0.318503894,1,1,0,1,2,2,2,2,2,2,2,1,1,3
2.2653304369166998,-0.473745187,0.2236691735345623,-0.352670525,1,0,0,1,1,0,1,1,0,0,1,2,1,2
-0.44137356,0.7508176332573873,-0.285704137,0.27880556536188844,0,0,1,2,1,0,1,1,0,1,1,2,0,3
-0.44137356,1.4447365649151942,-1.495881904,-0.401262576,0,0,0,0,2,2,2,2,2,2,2,1,1,2
-0.44137356,1.4855553256009475,-1.349395462,-0.25511145,1,1,0,1,2,2,2,2,2,2,2,1,1,2
2.2653304369166998,0.9957301973719074,0.8545596463114126,1.280776743876373,1,0,0,0,0,0,1,1,0,1,0,2,0,0
2.2653304369166998,-0.106376341,1.2091234212493254,0.2990982057932125,0,1,0,1,0,0,0,0,1,1,1,0,0,0
-0.44137356,-0.841114033,-0.981514738,-0.822401036,1,1,1,2,1,0,1,0,1,0,0,0,1,1
-0.44137356,-0.269651384,-1.297792283,-0.711320887,1,0,0,1,2,2,2,2,2,2,2,2,1,1
2.2653304369166998,1.6080116076582076,1.6252780866694112,2.448044713034708,0,0,0,1,0,1,1,1,1,1,1,1,1,2
-0.44137356,1.4447365649151942,1.7850814781907243,2.511679786561197,1,0,0,1,0,1,1,1,1,1,1,1,1,1
-0.44137356,0.7099988725716339,-0.998160924,-0.226789982,0,0,1,2,1,1,1,0,0,0,0,0,0,1
-0.44137356,0.9957301973719074,-0.179168543,0.5350663224609349,1,1,0,0,1,1,1,0,1,0,0,2,1,1
-0.44137356,1.567192846972454,1.6202842306843706,2.5896520516967736,1,1,0,1,0,1,1,1,1,1,1,1,1,3
-0.44137356,-0.514563948,-1.485894192,-0.839649781,1,0,0,0,2,2,2,2,2,2,2,2,1,1
-0.44137356,0.5467238298286206,-1.041441009,-0.334671835,0,0,1,2,1,0,0,1,1,0,0,2,1,3
-0.44137356,0.016079941,0.5033251086968598,0.13534542039957162,0,0,0,1,0,1,0,0,0,0,0,2,1,2
-0.44137356,-0.269651384,0.5632513805173525,-0.096145081,1,0,0,0,1,0,1,1,1,1,1,0,1,2
-0.44137356,0.832455155,-1.502540379,-0.550060567,0,0,0,0,2,2,2,2,2,2,2,1,1,3
-0.44137356,-1.086026598,0.4550511675081301,-0.799880617,0,0,0,0,1,1,0,1,1,1,1,0,1,3
-0.44137356,-0.147195102,-1.336078512,-0.665441874,0,0,1,2,1,0,0,0,0,0,0,2,0,1
-0.44137356,1.1181864794291674,0.8179380357544447,1.2946286766925377,0,0,0,1,0,0,0,1,0,1,0,1,0,0
-0.44137356,0.7099988725716339,-0.850009863,-0.121378538,1,1,1,2,1,1,0,0,0,1,0,0,0,3
-0.44137356,-1.290120401,-0.507098419,-0.991138753,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2.2653304369166998,1.3630990435436874,1.7068444010917483,2.4553015377106924,1,1,0,1,0,1,1,1,1,1,1,2,0,0
-0.44137356,0.22017374434259374,0.9960522325542418,0.582202597,1,1,0,1,0,0,0,1,1,1,0,1,0,2
-0.44137356,0.38344878708560715,0.090499681,0.25840263884126374,0,0,0,0,1,1,1,0,1,0,1,2,0,1
-0.44137356,0.7916363939431406,-1.329420038,-0.452722065,1,1,0,1,2,2,2,2,2,2,2,1,0,2
-0.44137356,-1.24930164,-1.497546523,-0.996322199,1,0,0,0,2,2,2,2,2,2,2,0,1,1
-0.44137356,1.4447365649151942,-1.480900336,-0.38449909,0,0,0,0,2,2,2,2,2,2,2,1,1,3
-0.44137356,1.2814615221721808,0.26861387739993137,1.0552858056922145,1,1,0,0,1,1,0,1,0,1,1,2,0,3
-0.44137356,-1.004389076,-1.489223429,-0.936039823,0,0,0,0,2,2,2,2,2,2,2,1,1,1
-0.44137356,0.5467238298286206,-1.499211141,-0.632642791,1,1,0,0,2,2,2,2,2,2,2,1,1,3
-0.44137356,0.9957301973719074,1.4305177032528114,1.6204799561403096,1,0,0,1,0,0,0,1,1,1,1,1,1,0
-0.44137356,-0.963570316,-1.484229573,-0.931871009,0,1,0,0,2,2,2,2,2,2,2,0,1,1
-0.44137356,0.7508176332573873,1.045990792404652,1.1533963107340945,1,0,0,1,0,1,1,0,0,0,1,2,0,3
-0.44137356,0.17935498365684038,0.5016604900351794,0.3187732441244527,0,0,0,0,0,0,1,1,0,0,0,2,1,0
-0.44137356,1.3630990435436874,0.8895166382066997,1.6672633152216554,1,0,0,1,1,1,1,1,1,1,1,1,1,2
-0.44137356,1.567192846972454,0.060536545,1.055506377870816,1,0,1,2,1,1,1,1,1,1,1,2,1,2
-0.44137356,0.9140926760004007,0.3335340052054649,0.8458525221102344,1,1,0,1,1,1,1,0,1,1,0,2,0,3
-0.44137356,0.2609925050283471,1.1641787173839564,0.6488815666192306,1,1,0,1,0,0,0,0,1,1,1,0,0,3
2.2653304369166998,-0.677838991,0.31522319992698117,-0.45664825,0,0,0,1,0,0,0,0,0,0,0,0,0,2
-0.44137356,1.6080116076582076,1.2906897356716625,2.227648992176241,1,0,0,1,0,0,1,1,0,1,1,1,0,2
-0.44137356,1.6080116076582076,0.5715744738257542,1.5386256206613493,1,0,0,1,1,0,1,1,0,1,1,1,1,2
-0.44137356,-0.228832623,0.8062857051226825,0.038426005,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2.2653304369166998,0.097717462,0.553263669,0.22884596690868306,1,0,0,1,0,0,0,1,0,0,0,2,0,2
-0.44137356,-0.02473882,0.8678765956048551,0.2536603370013347,0,0,0,0,0,0,0,0,0,1,1,0,1,0
-0.44137356,1.077367718743414,0.5033251086968598,1.0572930125174869,1,0,0,1,1,0,1,0,1,1,1,2,0,0
-0.44137356,1.5263740862867008,1.6519119852562967,2.464234710944047,0,1,0,1,0,1,1,1,1,1,1,1,0,0
-0.44137356,0.9140926760004007,0.683103924,1.0662041285329813,1,1,0,1,0,0,0,0,0,0,1,0,1,2
-0.44137356,-0.718657751,-1.479235717,-0.882529012,1,1,0,0,2,2,2,2,2,2,2,2,1,1
-0.44137356,-0.228832623,-1.517521947,-0.779367404,0,0,0,0,2,2,2,2,2,2,2,0,0,0
-0.44137356,-0.473745187,-1.296127665,-0.763508265,1,1,1,2,1,0,0,0,0,0,0,0,0,0
-0.44137356,-0.392107666,0.6464823136013697,-0.158655236,1,1,0,0,0,1,1,0,1,0,0,0,1,1
-0.44137356,-0.881932794,0.9727475712907169,-0.571985442,0,0,0,0,0,0,1,1,1,0,1,0,0,0
-0.44137356,1.4447365649151942,1.0027107072009627,1.9352585122222934,1,1,0,0,0,1,1,0,1,0,1,1,1,2
-0.44137356,0.832455155,1.090935496270021,1.2116935375384308,1,0,0,1,0,0,1,0,1,0,1,2,1,2
-0.44137356,-0.759476512,-1.484229573,-0.884095075,1,0,0,0,2,2,2,2,2,2,2,1,1,1
-0.44137356,1.403917804229441,1.5420471535853941,2.325141895118037,1,0,0,1,0,0,1,1,1,1,1,1,0,2
-0.44137356,-0.963570316,-1.489223429,-0.937054455,1,1,0,0,2,2,2,2,2,2,2,2,1,1
2.2653304369166998,1.567192846972454,-0.620292488,0.46624780273731425,1,0,1,2,1,1,1,1,1,0,0,1,1,3
2.2653304369166998,1.4855553256009475,-1.487558811,-0.414761593,0,0,0,0,2,2,2,2,2,2,2,1,1,3
-0.44137356,-1.20848288,-0.673560285,-0.947774263,0,0,0,0,1,0,0,0,0,0,0,0,1,1